Group,ID,Male,Took_Chem,HS_GPA,M_SAT,M_ACT,Math_Pass,Math_A,Chem_Pass,Chem_A,cGPA,s23GPA,Alg_Intv,dMAI
Exp,1,1,1,3.73,,20,1,0,1,0,2.769,1.625,1,766
Exp,2,1,1,3.71,600,,1,1,1,1,3.857,3.8,,-97
Exp,3,1,1,4.02,600,24,1,0,1,0,2.423,1.9231,,137
Exp,4,0,1,3.75,570,,1,0,0,0,3.037,2.5833,1,-280
Exp,5,1,1,3.8,530,19,1,0,1,0,3.386,2.7857,1,300
Exp,6,1,1,4.06,530,21,1,1,1,1,4,4,1,-50
Exp,7,1,1,3.4,520,,1,0,1,0,2.966,3.25,,
Exp,8,1,1,3.48,570,,1,1,1,0,3.364,3.4,,693
Exp,9,1,1,3.59,590,,1,0,1,0,2.5,2.6429,,
Exp,10,1,1,4.15,530,,1,0,1,0,2.921,2.8,1,-319
Exp,11,1,1,4.3,600,25,1,1,1,0,3.7,3.6,1,
Exp,12,1,1,4.22,590,,1,1,1,1,3.889,3.8,1,
Exp,13,1,1,3.7,560,,1,0,1,0,2.931,2.625,,722
Exp,14,1,1,3.97,,,1,0,1,0,3.625,3.375,1,-682
Exp,15,1,1,3.83,530,20,1,0,1,0,3.125,2.625,1,-325
Exp,16,1,1,3.51,560,,1,1,1,0,3.067,3.4,,351
Exp,17,1,1,4.06,560,,1,1,1,0,3.647,3.6667,,686
Exp,18,1,1,3.99,580,,1,1,1,1,3.889,4,1,331
Exp,19,1,1,3.46,510,23,1,0,0,0,2.074,2.4167,,-720
Exp,20,1,1,3.5,570,,0,0,0,0,2.667,2.2,,-532
Exp,21,1,0,3.9,560,,1,0,,,2.938,3.4,1,-88
Con,23,1,1,3.89,530,23,1,1,1,0,3.645,3.4375,NA,NA
Con,25,1,0,3.75,540,NA,1,0,NA,NA,3.719,3.7647,NA,NA
Con,28,1,1,3.52,600,NA,1,0,1,0,3.321,3.3077,NA,NA
Con,38,1,1,4.03,520,NA,1,0,1,0,3.439,3.4667,NA,NA
Con,39,1,1,4.2,540,NA,0,0,0,0,2.259,2,NA,NA
Con,40,1,0,3.33,530,NA,1,0,NA,NA,2.897,3,NA,NA
Con,42,1,1,4.06,590,NA,1,0,1,0,2.793,2.9286,NA,NA
Con,47,0,1,4.25,510,23,1,0,1,0,3.684,3.25,1,NA
Con,50,1,1,4.36,570,NA,1,0,1,0,2.969,2.8125,1,NA
Con,53,1,1,3.7,600,NA,1,0,1,0,3.323,3.4,1,NA
Con,54,1,1,3.23,600,NA,1,0,1,0,2.765,2.3125,1,NA
Con,59,1,0,4.14,550,NA,1,0,NA,NA,3.625,3.25,NA,NA
Con,62,1,0,3.55,600,NA,0,0,NA,NA,2.192,1.1,NA,NA
Con,64,1,1,4.27,590,NA,1,0,1,0,3.297,3,1,NA
Con,65,1,0,3.69,540,NA,1,0,NA,NA,3.405,2.7692,NA,NA
Con,66,1,1,3.46,570,17,1,0,0,0,2.659,2.3333,NA,NA
Con,68,1,1,3.7,560,NA,1,0,1,0,1.778,1.5385,NA,NA
Con,77,1,1,3.37,580,NA,0,0,0,0,2.667,2.5385,1,NA
Con,81,1,1,3.62,590,NA,1,1,1,1,4,4,NA,NA
Con,82,1,1,3.53,560,NA,1,1,1,0,3.714,3.5385,NA,NA
Con,83,1,1,4.05,580,23,1,0,1,1,3.909,3.8125,NA,NA
Con,88,1,1,3.33,530,22,1,0,1,0,2.944,3,NA,NA
Con,90,1,0,3.61,580,NA,1,0,NA,NA,3.061,2.75,NA,NA
Con,95,1,1,3.63,580,NA,1,0,1,0,2.71,2.3529,NA,NA
Con,96,1,1,4,570,NA,1,0,1,0,3.658,3.2857,NA,NA
Con,106,1,1,4,540,18,1,0,1,1,3.75,3.625,NA,NA
Con,119,0,1,4.02,530,25,1,0,0,0,2.185,2.0714,NA,NA
Con,120,1,1,3.36,520,21,0,0,1,0,2.63,2.4286,NA,NA
Con,123,1,1,4.27,590,NA,1,0,0,0,3.194,3,1,NA
Con,127,1,0,3.98,600,NA,1,0,NA,NA,3.516,3.3125,1,NA
Con,129,0,1,4.36,550,18,0,0,0,0,1.742,1.1875,1,NA
Con,130,1,1,3.9,560,22,1,0,1,0,3.216,3.25,1,NA
Con,132,1,1,3.82,520,19,1,0,1,0,2.963,2.6429,1,NA
Con,140,1,1,3.86,560,NA,1,0,0,0,2.897,2.7857,1,NA
Con,142,1,1,3.92,520,NA,1,1,1,1,3.813,3.6667,NA,NA
Con,143,1,1,3.83,600,NA,1,0,0,0,2.438,2.2667,NA,NA
Con,144,1,1,3.83,530,NA,1,1,1,0,3.814,3.8667,NA,NA
Con,146,1,1,4.6,550,NA,1,0,1,0,3.548,3.4375,NA,NA
